mESC,pro-B,Myotube,Th-cell,Macrophage
NM_001081209,NM_008922,NM_133810,NM_001109661,NM_011518
NM_133833,NM_145996,NM_028133,NM_028331,NM_024214
NM_015818,NM_019790,NM_010866,NM_016754,NM_144539
NM_018872,NM_033563,NM_026830,NM_007598,NM_008625
NM_001005423,NM_027456,NM_028040,NM_008856,NM_011580
NM_008342,NM_027966,NM_001163360,NM_001081345,NM_001163288
NM_025386,NM_008972,NM_178665,NM_010735,NM_001159556
NM_010262,NM_010566,NM_022318,NM_001162366,NM_139232
NM_023755,NM_177646,NM_015740,NM_024214,NR_033185
NM_001081125,NM_009911,NM_175418,NM_021782,NM_144541
NM_008381,NM_007923,NM_031189,NM_007719,NM_007497
NM_134438,NM_007570,NM_027077,NM_009124,NM_007657
NM_001160251,NM_009061,NR_029593,NR_028589,NM_011610
NM_001159769,NM_015811,NM_019978,NM_009741,NM_001004164
NM_008485,NM_010500,NM_008377,NM_153560,NM_028696
NM_021610,NM_001038846,NM_001012324,NM_008349,NM_001033219
NM_030724,NM_018729,NM_001081171,NM_010304,NM_011303
NM_177099,NM_030710,NM_011740,NM_013674,NM_009229
NM_010094,NM_027972,NM_024207,NM_009728,NM_008392
NM_010135,NM_001012330,NM_001081445,NM_027258,NM_009139
NM_001177631,NM_013915,NM_030889,NM_019518,NM_010554
NM_001177650,NM_133815,NM_001033192,NM_019507,NM_001162999
NM_001159634,NM_025626,NM_001111022,NM_008094,NM_001111324
NM_001085507,NM_010160,NM_009408,NM_010560,NM_010748
NM_201366,NM_008859,NM_001160145,NM_011610,NM_175341
NM_009328,NM_008367,NM_001168684,NM_009403,NM_001168513
NM_010495,NM_146115,NM_009407,NM_008367,NM_020007
NM_009823,NM_008114,NM_001159517,NM_176860,NM_134131
NM_172150,NM_175511,NM_029561,NM_008036,NM_001136061
NM_008652,NM_021515,NM_024214,NM_029083,NM_019549
NM_028072,NM_013781,NM_028398,NM_019390,NM_007471
NM_201395,NM_010283,NM_029639,NM_153175,NM_001146122
NM_133218,NM_010053,NM_029791,NM_016769,NM_001001932
NM_011443,NM_021512,NM_012043,NM_172297,NM_010067
NM_025448,NM_001025246,NM_001025576,NM_031183,NM_145128
NM_008562,NM_009020,NM_181073,NM_133867,NM_175406
NM_027241,NM_178886,NM_001146180,NM_024457,NM_019930
NM_001081139,NM_026104,NM_007483,NM_010578,NR_015500
NM_026602,NM_138313,NM_001161365,NM_145713,NM_001085383
NM_130450,NM_026929,NM_026772,NM_010548,NM_010656
NM_001040400,NM_199239,NR_030242,NM_053202,NM_011894
NM_027288,NM_010090,NM_178377,NR_035452,NM_008917
NM_010637,NM_015747,NM_011375,NM_177876,NM_001113464
NM_172872,NM_011170,NM_016696,NM_197993,NR_015567
NM_011400,NM_175445,NM_175114,NM_001085390,NM_145158
NM_009600,NM_138651,NM_153137,NM_134068,NM_013521
NM_008049,NR_030762,NM_001164797,NR_035421,NM_001081227
NM_198618,NM_019761,NM_172608,NM_019429,NM_001083587
NM_001159603,NM_053091,NM_007656,NM_013535,NM_001141932
NM_130879,NM_029512,NM_008487,NM_001033122,NM_009841
NM_007431,NR_028113,NR_029528,NM_008859,NM_001018042
NM_025451,NM_008679,NM_001081298,NM_025889,NM_008677
NM_010139,NM_001159683,NM_001099635,NM_153287,NM_011498
NR_030695,NM_148933,NM_177794,NM_008551,NM_001146119
NR_027137,NM_009801,NR_033552,NM_010177,NM_181754
NM_144531,NM_013531,NM_033607,NM_001163031,NM_205820
NM_009642,NM_019739,NM_009667,NM_177260,NM_001164426
NM_011385,NM_026435,NM_172628,NM_172429,NM_001099738
NM_178390,NM_028808,NM_153412,NM_153408,NM_153591
NM_001080928,NM_027571,NM_011809,NM_016709,NM_173371
NM_008453,NM_008351,NM_001081416,NM_019713,NM_009851
NR_030152,NM_172681,NM_001013441,NM_008080,NR_030449
NM_030704,NM_133665,NM_027758,NM_019726,NR_035446
NM_172424,NM_008562,NM_010713,NM_008337,NM_011803
NM_011535,NM_023320,NM_001034851,NM_027817,NM_001098230
NM_175092,NM_033596,NM_177733,NM_011201,NM_026775
NM_009903,NM_023719,NM_001042487,NM_001177648,NR_002847
NM_029587,NM_133867,NM_029347,NM_009035,NM_007630
NM_018810,NM_007901,NM_027438,NM_010696,NM_001162366
NM_007958,NM_001034168,NM_053098,NM_008689,NM_008879
NM_007836,NM_010703,NM_010437,NM_011223,NM_175318
NM_001166371,NM_001081417,NM_009606,NM_018738,NM_173413
NM_009320,NM_175175,NM_001134383,NM_182806,NM_001017959
NM_007905,NM_019436,NM_001081157,NM_025919,NM_010735
NM_139218,NM_080289,NM_001042699,NM_008452,NM_026439
NM_028016,NM_001163288,NM_001077407,NM_009752,NM_007836
NM_011401,NM_001045514,NM_181072,NM_139200,NM_001033411
NM_007657,NM_030014,NR_036469,NM_008320,NM_172409
NM_008492,NM_053157,NM_053068,NM_027187,NR_029738
NM_029081,NM_146145,NM_134080,NM_153178,NM_133187
NM_021284,NM_001177980,NM_013848,NM_177565,NM_172814
NR_029640,NM_007598,NM_008533,NM_001112715,NM_025588
NM_133777,NR_002865,NM_033218,NM_133978,NM_008139
NM_001024699,NM_001145955,NM_010143,NM_145421,NM_199311
NM_009795,NM_001080819,NM_026056,NM_017380,NM_025760
NR_004443,NM_026257,NR_029557,NM_025626,NM_008349
NM_011274,NM_007431,NM_001110216,NM_007961,NM_007930
NM_025330,NM_011039,NM_001159564,NM_010315,NM_153170
NM_175272,NM_001029837,NM_001033713,NM_011808,NM_019744
NM_021366,NR_029751,NM_001159620,NM_007656,NM_211357
NM_018811,NM_001190445,NM_010425,NM_033601,NM_009163
NM_001146000,NM_001042501,NM_010754,NM_001013365,NM_015811
NM_173011,NM_010427,NM_009668,NM_009318,NM_008681
NM_013659,NM_175249,NM_008560,NM_009896,NM_019388
NM_023403,NM_001081105,NM_011039,NM_009743,NM_016888
NM_001166584,NM_001081104,NM_001081417,NR_002847,NM_010696
NM_009980,NM_139198,NM_024451,NM_001122892,NM_028347
NM_009482,NM_027978,NM_016803,NR_035463,NM_173408
NM_010202,NM_001159650,NM_010928,NM_001103178,NM_027760
NM_024279,NM_025526,NM_010833,NM_017480,NM_207225
NM_019733,NM_009151,NM_009172,NR_036469,NM_145827
NM_176952,NM_133760,NM_172256,NM_010703,NM_152804
NM_015802,NM_172424,NM_025974,NM_009969,NM_001039493
NM_009556,NM_145853,NM_011607,NM_177782,NM_172133
NM_008452,NM_008507,NM_030215,NM_011210,NM_009263
NM_010499,NM_175092,NM_030888,NM_145823,NM_178772
NM_173866,NM_029850,NM_052993,NM_007570,NM_175212
