mESC,pro-B,Myotube,Th-cell
NM_001081209,NM_008922,NM_133810,NM_001109661
NM_133833,NM_008922,NM_028133,NM_028331
NM_015818,NM_145996,NM_010866,NM_016754
NM_015818,NM_019790,NM_026830,NM_007598
NM_018872,NM_033563,NM_028040,NM_008856
NM_001005423,NM_027456,NM_001163360,NM_001081345
NM_008342,NM_027966,NM_178665,NM_010735
NM_025386,NM_008972,NM_022318,NM_001162366
NM_010262,NM_010566,NM_015740,NM_024214
NM_023755,NM_177646,NM_175418,NM_021782
NM_001081125,NM_009911,NM_031189,NM_007719
NM_008381,NM_009911,NM_027077,NM_009124
NM_008381,NM_007923,NR_029593,NR_028589
NM_134438,NM_007570,NM_019978,NM_009741
NM_001160251,NM_009061,NM_008377,NM_153560
NM_001159769,NM_009061,NM_001012324,NM_008349
NM_008485,NM_015811,NM_001081171,NM_010304
NM_021610,NM_010500,NM_011740,NM_013674
NM_030724,NM_001038846,NM_024207,NM_009728
NM_177099,NM_018729,NM_001081445,NM_027258
NM_010094,NM_030710,NM_030889,NM_019518
NM_010135,NM_027972,NM_001033192,NM_019507
NM_001177631,NM_001012330,NM_001111022,NM_008094
NM_001177650,NM_013915,NM_009408,NM_010560
NM_001159634,NM_133815,NM_001160145,NM_011610
NM_001085507,NM_025626,NM_001168684,NM_009403
NM_201366,NM_010160,NM_009407,NM_008367
NM_201366,NM_008859,NM_001159517,NM_176860
NM_009328,NM_008859,NM_029561,NM_008036
NM_010495,NM_008367,NM_024214,NM_029083
NM_009823,NM_008367,NM_028398,NM_019390
NM_172150,NM_146115,NM_029639,NM_153175
NM_008652,NM_008114,NM_029791,NM_016769
NM_028072,NM_175511,NM_012043,NM_172297
NM_201395,NM_021515,NM_001025576,NM_031183
NM_133218,NM_013781,NM_181073,NM_133867
NM_011443,NM_010283,NM_001146180,NM_024457
NM_011443,NM_010053,NM_007483,NM_010578
NM_025448,NM_021512,NM_001161365,NM_145713
NM_008562,NM_001025246,NM_026772,NM_010548
NM_027241,NM_009020,NR_030242,NM_053202
NM_001081139,NM_178886,NM_178377,NR_035452
NM_026602,NM_026104,NM_011375,NM_177876
NM_130450,NM_138313,NM_016696,NM_197993
NM_001040400,NM_026929,NM_175114,NM_001085390
NM_027288,NM_199239,NM_153137,NM_134068
NM_010637,NM_010090,NM_001164797,NR_035421
NM_172872,NM_015747,NM_172608,NM_019429
NM_011400,NM_011170,NM_007656,NM_013535
NM_009600,NM_175445,NM_008487,NM_001033122
NM_008049,NM_138651,NR_029528,NM_008859
NM_198618,NR_030762,NM_001081298,NM_025889
NM_001159603,NM_019761,NM_001099635,NM_153287
NM_001159603,NM_053091,NM_177794,NM_008551
NM_130879,NM_029512,NR_033552,NM_010177
NM_007431,NR_028113,NM_033607,NM_001163031
NM_025451,NM_008679,NM_009667,NM_177260
NM_010139,NM_001159683,NM_172628,NM_172429
NR_030695,NM_148933,NM_153412,NM_153408
NR_027137,NM_009801,NM_011809,NM_016709
NM_144531,NM_013531,NM_001081416,NM_019713
NM_009642,NM_019739,NM_001013441,NM_008080
NM_011385,NM_019739,NM_027758,NM_019726
NM_011385,NM_019739,NM_010713,NM_008337
NM_178390,NM_019739,NM_001034851,NM_027817
NM_001080928,NM_026435,NM_177733,NM_011201
NM_008453,NM_028808,NM_001042487,NM_001177648
NR_030152,NM_027571,NM_029347,NM_009035
NM_030704,NM_008351,NM_027438,NM_010696
NM_172424,NM_172681,NM_053098,NM_008689
NM_172424,NM_133665,NM_010437,NM_011223
NM_011535,NM_008562,NM_009606,NM_018738
NM_011535,NM_023320,NM_001134383,NM_182806
NM_175092,NM_033596,NM_001081157,NM_025919
NM_009903,NM_023719,NM_001042699,NM_008452
NM_029587,NM_133867,NM_001077407,NM_009752
NM_018810,NM_007901,NM_181072,NM_139200
NM_018810,NM_001034168,NR_036469,NM_008320
NM_007958,NM_010703,NM_053068,NM_027187
NM_007836,NM_001081417,NM_134080,NM_153178
NM_001166371,NM_175175,NM_013848,NM_177565
NM_009320,NM_019436,NM_008533,NM_001112715
NM_007905,NM_080289,NM_033218,NM_133978
NM_139218,NM_001163288,NM_010143,NM_145421
NM_028016,NM_001045514,NM_026056,NM_017380
NM_011401,NM_030014,NR_029557,NM_025626
NM_007657,NM_030014,NM_001110216,NM_007961
NM_008492,NM_053157,NM_001159564,NM_010315
NM_029081,NM_146145,NM_001033713,NM_011808
NM_021284,NM_001177980,NM_001159620,NM_007656
NR_029640,NM_007598,NM_010425,NM_033601
NM_133777,NR_002865,NM_010754,NM_001013365
NM_001024699,NM_001145955,NM_009668,NM_009318
NM_009795,NM_001080819,NM_008560,NM_009896
NR_004443,NM_026257,NM_011039,NM_009743
NM_011274,NM_007431,NM_001081417,NR_002847
NM_025330,NM_011039,NM_024451,NM_001122892
NM_175272,NM_001029837,NM_016803,NR_035463
NM_021366,NR_029751,NM_010928,NM_001103178
NM_018811,NM_001190445,NM_010833,NM_017480
NM_001146000,NM_001042501,NM_009172,NR_036469
NM_173011,NM_010427,NM_172256,NM_009896
NM_013659,NM_175249,NM_025974,NM_010703
NM_023403,NM_001081105,NM_011607,NM_009969
NM_001166584,NM_001081104,NM_030215,NM_177782
NM_009980,NM_139198,NM_030888,NM_011210
NM_009482,NM_027978,NM_052993,NM_145823
NM_010202,NM_001159650,NM_146102,NM_007570
NM_024279,NM_025526,NM_177047,NM_009895
NM_019733,NM_009151,NM_001085453,NM_030256
NM_176952,NM_133760,NM_028977,NM_013660
NM_015802,NM_172424,NM_001161767,NM_010583
NM_009556,NM_145853,NM_001037929,NR_029738
NM_008452,NM_008507,NM_175347,NM_001145433
NM_010499,NM_175092,NM_001081103,NM_008696
NM_173866,NM_029850,NM_001081425,NM_001112700
NM_021390,NM_019639,NM_001101433,NM_009886
NM_177224,NM_021611,NM_172768,NM_001163189
NM_025812,NM_021611,NM_012026,NM_009843
NM_026942,NM_007393,NM_139298,NM_054050
NM_025274,NM_001010941,NM_008535,NM_009578
NM_028838,NM_153572,NM_133805,NM_026170
NM_001042503,NM_133898,NM_001163660,NM_018754
NM_025974,NM_175048,NM_001081100,NM_026257
NM_175114,NM_021892,NM_008549,NM_053008
NM_001177776,NR_029719,NM_177909,NM_010194
NM_001161845,NR_029719,NM_010254,NM_019952
NM_001161848,NR_029719,NM_001034891,NM_008577
NM_026113,NM_010070,NM_178888,NM_007548
NR_035450,NM_001037727,NM_011375,NM_027127
NM_029083,NM_008881,NM_133904,NM_001081067
NM_027384,NM_001178058,NM_145500,NM_009128
NM_178606,NM_001197321,NR_033631,NM_178890
NM_178606,NM_001197321,NM_144534,NM_001081104
NM_024440,NM_053202,NM_024291,NM_145928
NM_175329,NM_001166432,NM_019737,NM_001081417
NM_009929,NM_144815,NM_175344,NR_028555
NM_008162,NM_001128151,NM_173033,NM_001042564
NM_001017525,NM_001128151,NM_172868,NM_027209
NM_001083587,NM_013545,NM_011424,NM_011681
NM_001159401,NM_001033122,NM_001039669,NM_008353
NM_172496,NM_001033122,NM_177068,NM_010223
NM_023146,NM_019426,NM_001081970,NM_025967
NM_011694,NM_019426,NM_008609,NM_010876
NM_021327,NM_008511,NM_194350,NM_010559
NM_028448,NM_010656,NM_001077407,NM_009852
NM_178656,NM_019923,NM_011923,NM_027136
NM_177392,NM_001178001,NM_175484,NM_133694
NM_001034097,NM_026355,NM_153114,NM_008026
NM_008952,NM_007655,NM_010708,NM_008372
NM_054043,NM_001163554,NM_025961,NM_009630
NM_139311,NM_011577,NM_198602,NM_010581
NM_001176528,NM_011756,NM_001081225,NM_134250
NM_011551,NM_011662,NR_027784,NM_011193
NM_010838,NM_007645,NM_016667,NM_013542
NM_145823,NM_021366,NM_153179,NM_008494
NR_027059,NM_001081345,NM_146001,NM_011385
NM_007707,NM_001081345,NR_030423,NM_015811
NM_008709,NM_013659,NM_026514,NM_001077509
NM_008709,NM_008803,NM_001163031,NM_144551
NM_008709,NR_015614,NM_145144,NM_008562
NR_033689,NM_011671,NM_010019,NR_003523
NM_010907,NR_029791,NM_001164048,NM_027898
NM_145442,NR_028079,NM_009881,NM_027238
NM_011934,NM_010826,NM_001039723,NM_025892
NM_011934,NM_025846,NM_001098230,NM_007569
NM_145836,NM_011965,NM_001007569,NM_001176528
NM_172584,NM_007908,NM_053245,NM_001037727
NM_001135001,NM_021887,NM_144536,NM_007888
NM_012023,NM_011363,NM_018865,NM_145836
NM_012023,NM_029609,NM_175511,NM_011616
NM_008291,NM_029609,NM_054043,NM_025400
NM_007974,NM_175268,NM_001024617,NM_021399
NM_007930,NR_035488,NM_023844,NM_146187
NM_007930,NM_011288,NM_009775,NM_007569
NR_035442,NM_031257,NM_001170868,NM_007872
NM_017479,NM_172911,NM_028262,NM_172500
NM_144841,NM_177304,NM_001145660,NM_008302
NM_001039198,NM_010592,NM_080728,NM_008337
NM_021480,NM_009001,NM_007836,NM_008413
NM_001081177,NM_029736,NM_010656,NM_008479
NM_013514,NM_010499,NM_007378,NM_020271
NM_009366,NM_008535,NM_027990,NM_007746
NR_015485,NM_022331,NM_009702,NM_009192
NM_009769,NM_018882,NM_011406,NM_145968
NM_011897,NM_173036,NM_146106,NM_011498
NM_011897,NM_001042715,NM_029122,NM_021366
NM_001034851,NM_010901,NM_009600,NM_177683
NR_003368,NM_027570,NM_178722,NM_009851
NM_001110827,NM_172285,NM_007416,NM_153138
NM_001033274,NM_172285,NR_028307,NM_001038846
NM_178114,NM_028071,NM_001160422,NM_010581
NM_028003,NM_178856,NM_146106,NM_025816
NM_021391,NM_009941,NM_145983,NM_001037298
NM_001003918,NM_145605,NM_021323,NM_009373
NM_013506,NM_001081121,NM_001164437,NM_010437
NM_133752,NM_011136,NM_022995,NR_003283
NM_023844,NM_028820,NM_010017,NM_177301
NM_001159517,NM_007783,NM_177860,NM_011893
NM_013642,NM_026942,NM_009694,NM_010009
NR_036469,NM_001083927,NM_144537,NM_009331
NM_008842,NM_177460,NM_025500,NM_027514
NM_010831,NM_153119,NM_054050,NM_010090
NM_013633,NM_173731,NM_026752,NM_175436
