	Bone_Marrow	Cerebellum	Cortex	E14.5_Brain	E14.5_Heart	E14.5_Limb	E14.5_Liver	HFSCs	Heart	Intestine	Kidney	Liver	Lung	MEF	Macrophage	Myotubes	Olfactory_Bulb	Spleen	TACs	Testis	Th_Cells	Thymus	mESC	pro-B
Bone_Marrow	1.0	0.102857142857	0.162857142857	0.145714285714	0.305714285714	0.2	0.36	0.0914285714286	0.248571428571	0.428571428571	0.185714285714	0.2	0.26	0.194285714286	0.154285714286	0.0485714285714	0.162857142857	0.654285714286	0.154285714286	0.165714285714	0.282857142857	0.148571428571	0.0314285714286	0.222857142857
Cerebellum	0.110769230769	1.0	0.292307692308	0.187692307692	0.221538461538	0.110769230769	0.0984615384615	0.0923076923077	0.193846153846	0.178461538462	0.150769230769	0.141538461538	0.147692307692	0.116923076923	0.0338461538462	0.04	0.295384615385	0.150769230769	0.101538461538	0.0861538461538	0.147692307692	0.0492307692308	0.0215384615385	0.0615384615385
Cortex	0.146529562982	0.259640102828	1.0	0.231362467866	0.305912596401	0.200514138817	0.102827763496	0.115681233933	0.311053984576	0.264781491003	0.210796915167	0.19794344473	0.249357326478	0.20822622108	0.0514138817481	0.0565552699229	0.506426735219	0.231362467866	0.115681233933	0.113110539846	0.174807197943	0.0848329048843	0.0308483290488	0.0745501285347
E14.5_Brain	0.125	0.1575	0.225	1.0	0.2975	0.345	0.0825	0.08	0.1725	0.1825	0.1375	0.115	0.1475	0.195	0.025	0.04	0.3075	0.17	0.12	0.12	0.09	0.05	0.0225	0.065
E14.5_Heart	0.147471910112	0.101123595506	0.165730337079	0.165730337079	1.0	0.27106741573	0.129213483146	0.0997191011236	0.393258426966	0.259831460674	0.199438202247	0.157303370787	0.244382022472	0.292134831461	0.0547752808989	0.0814606741573	0.147471910112	0.192415730337	0.147471910112	0.0898876404494	0.120786516854	0.0589887640449	0.0308988764045	0.0814606741573
E14.5_Limb	0.13358778626	0.0725190839695	0.150763358779	0.267175572519	0.37786259542	1.0	0.11641221374	0.110687022901	0.202290076336	0.225190839695	0.162213740458	0.141221374046	0.181297709924	0.343511450382	0.043893129771	0.0286259541985	0.158396946565	0.187022900763	0.137404580153	0.13358778626	0.106870229008	0.0515267175573	0.0267175572519	0.087786259542
E14.5_Liver	0.218213058419	0.0549828178694	0.0652920962199	0.0567010309278	0.154639175258	0.104810996564	1.0	0.0429553264605	0.113402061856	0.207903780069	0.0876288659794	0.134020618557	0.101374570447	0.109965635739	0.0773195876289	0.0395189003436	0.0601374570447	0.185567010309	0.0704467353952	0.0549828178694	0.111683848797	0.0601374570447	0.0257731958763	0.085910652921
HFSCs	0.0822281167109	0.079575596817	0.116710875332	0.0848806366048	0.185676392573	0.151193633952	0.0663129973475	1.0	0.175066312997	0.228116710875	0.148541114058	0.148541114058	0.164456233422	0.244031830239	0.0901856763926	0.0636604774536	0.106100795756	0.140583554377	0.320954907162	0.0477453580902	0.0901856763926	0.0291777188329	0.0238726790451	0.0397877984085
Heart	0.153271028037	0.117757009346	0.220560747664	0.12523364486	0.515887850467	0.188785046729	0.119626168224	0.121495327103	1.0	0.310280373832	0.276635514019	0.239252336449	0.426168224299	0.257943925234	0.115887850467	0.0785046728972	0.18691588785	0.254205607477	0.147663551402	0.110280373832	0.155140186916	0.0859813084112	0.0485981308411	0.0990654205607
Intestine	0.18315018315	0.0695970695971	0.125763125763	0.0879120879121	0.223443223443	0.140415140415	0.152625152625	0.105006105006	0.210012210012	1.0	0.210012210012	0.224664224664	0.211233211233	0.174603174603	0.0927960927961	0.03663003663	0.113553113553	0.26862026862	0.129426129426	0.0879120879121	0.150183150183	0.0671550671551	0.043956043956	0.0940170940171
Kidney	0.168	0.128	0.213333333333	0.144	0.362666666667	0.213333333333	0.133333333333	0.149333333333	0.394666666667	0.456	1.0	0.373333333333	0.370666666667	0.266666666667	0.106666666667	0.0346666666667	0.205333333333	0.250666666667	0.184	0.128	0.16	0.0826666666667	0.0453333333333	0.109333333333
Liver	0.111111111111	0.0751633986928	0.122549019608	0.0767973856209	0.179738562092	0.116013071895	0.122549019608	0.0915032679739	0.205882352941	0.292483660131	0.232026143791	1.0	0.200980392157	0.160130718954	0.109477124183	0.0359477124183	0.093137254902	0.166666666667	0.111111111111	0.0767973856209	0.127450980392	0.0457516339869	0.031045751634	0.0702614379085
Lung	0.215496368039	0.113801452785	0.230024213075	0.147699757869	0.418886198547	0.222760290557	0.142857142857	0.152542372881	0.556900726392	0.423728813559	0.338983050847	0.302663438257	1.0	0.326876513317	0.0992736077482	0.0484261501211	0.181598062954	0.346246973366	0.181598062954	0.147699757869	0.208232445521	0.0968523002421	0.0532687651332	0.128329297821
MEF	0.101361573374	0.0605143721634	0.122541603631	0.116490166415	0.317700453858	0.264750378215	0.0922844175492	0.142208774584	0.217851739788	0.217851739788	0.152798789713	0.151285930408	0.208774583964	1.0	0.116490166415	0.0514372163389	0.11497730711	0.169440242057	0.116490166415	0.0756429652042	0.134644478064	0.0484114977307	0.0332829046899	0.0665658093797
Macrophage	0.0551508844953	0.0114464099896	0.0208116545265	0.0104058272633	0.0426638917794	0.0249739854318	0.047866805411	0.0364203954214	0.0655567117586	0.0832466181061	0.0426638917794	0.0697190426639	0.0457856399584	0.0811654526535	1.0	0.0124869927159	0.0228928199792	0.0915712799168	0.0332986472425	0.00936524453694	0.0905306971904	0.0208116545265	0.00728407908429	0.0395421436004
Myotubes	0.0317757009346	0.0242990654206	0.0411214953271	0.0299065420561	0.106542056075	0.0280373831776	0.0429906542056	0.0448598130841	0.0785046728972	0.0598130841121	0.0261682242991	0.0429906542056	0.0373831775701	0.0654205607477	0.0224299065421	1.0	0.0373831775701	0.0467289719626	0.0467289719626	0.011214953271	0.0448598130841	0.014953271028	0.011214953271	0.0168224299065
Olfactory_Bulb	0.116326530612	0.197959183673	0.40612244898	0.25306122449	0.220408163265	0.161224489796	0.0734693877551	0.0816326530612	0.20612244898	0.191836734694	0.159183673469	0.118367346939	0.155102040816	0.15306122449	0.0448979591837	0.0408163265306	1.0	0.189795918367	0.104081632653	0.0857142857143	0.142857142857	0.0714285714286	0.0244897959184	0.0530612244898
Spleen	0.340773809524	0.0729166666667	0.133928571429	0.10119047619	0.200892857143	0.142857142857	0.157738095238	0.0758928571429	0.202380952381	0.330357142857	0.139880952381	0.154761904762	0.21130952381	0.16369047619	0.129464285714	0.0372023809524	0.139880952381	1.0	0.107142857143	0.0952380952381	0.28869047619	0.175595238095	0.03125	0.220238095238
TACs	0.136482939633	0.0866141732283	0.115485564304	0.120734908136	0.267716535433	0.173228346457	0.102362204724	0.317585301837	0.202099737533	0.280839895013	0.178477690289	0.173228346457	0.186351706037	0.199475065617	0.0787401574803	0.0656167979003	0.131233595801	0.183727034121	1.0	0.0656167979003	0.107611548556	0.0472440944882	0.0341207349081	0.0524934383202
Testis	0.27619047619	0.133333333333	0.209523809524	0.228571428571	0.309523809524	0.328571428571	0.152380952381	0.0857142857143	0.290476190476	0.347619047619	0.238095238095	0.228571428571	0.295238095238	0.247619047619	0.0428571428571	0.0285714285714	0.2	0.309523809524	0.133333333333	1.0	0.190476190476	0.0857142857143	0.0333333333333	0.0952380952381
Th_Cells	0.20871559633	0.103211009174	0.146788990826	0.0779816513761	0.188073394495	0.116972477064	0.139908256881	0.0756880733945	0.192660550459	0.26376146789	0.135321100917	0.172018348624	0.190366972477	0.197247706422	0.185779816514	0.0504587155963	0.149082568807	0.412844036697	0.0940366972477	0.0825688073394	1.0	0.183486238532	0.0321100917431	0.183486238532
Thymus	0.229074889868	0.0704845814978	0.140969162996	0.0881057268722	0.180616740088	0.118942731278	0.154185022026	0.0484581497797	0.202643171806	0.242290748899	0.136563876652	0.123348017621	0.176211453744	0.140969162996	0.0881057268722	0.0352422907489	0.154185022026	0.528634361233	0.079295154185	0.079295154185	0.356828193833	1.0	0.0264317180617	0.251101321586
mESC	0.047619047619	0.030303030303	0.0519480519481	0.038961038961	0.0952380952381	0.0606060606061	0.0649350649351	0.038961038961	0.112554112554	0.155844155844	0.0735930735931	0.0822510822511	0.0952380952381	0.0995670995671	0.030303030303	0.025974025974	0.0519480519481	0.0909090909091	0.0562770562771	0.030303030303	0.0649350649351	0.030303030303	1.0	0.0519480519481
pro-B	0.2	0.0506329113924	0.073417721519	0.0658227848101	0.149367088608	0.118987341772	0.129113924051	0.0379746835443	0.141772151899	0.2	0.106329113924	0.111392405063	0.136708860759	0.111392405063	0.0911392405063	0.0227848101266	0.0658227848101	0.372151898734	0.053164556962	0.0506329113924	0.215189873418	0.146835443038	0.0303797468354	1.0
